Country,State,Year,Road Environment,Rank Of Persons Killed,Rank Of Total Accidents,"Number Of Persons Greviously Injured (UOM:Number), Scaling Factor:1","Number Of Persons Killed (UOM:Number), Scaling Factor:1","Number Of Persons With Minor Injury (UOM:Number), Scaling Factor:1","Total Accidents (UOM:Number), Scaling Factor:1","Total Number Of Persons Injured (UOM:Number), Scaling Factor:1"
India,Bihar,"Calendar Year (Jan - Dec), 2022",Residential Area,,,1547,1832,52,2272,1599
India,Chandigarh,"Calendar Year (Jan - Dec), 2022",Institutional Area,,,1,1,12,12,13
India,Chandigarh,"Calendar Year (Jan - Dec), 2022",Market/ Commercial Area,,,0,4,2,6,2
India,Chandigarh,"Calendar Year (Jan - Dec), 2022",Open Area,,,16,73,162,201,178
India,Chandigarh,"Calendar Year (Jan - Dec), 2022",Others,,,0,0,0,0,0
India,Chandigarh,"Calendar Year (Jan - Dec), 2022",Residential Area,,,1,5,9,18,10
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2022",Institutional Area,,,100,160,376,458,476
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2022",Market/ Commercial Area,,,167,336,1123,1408,1290
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2022",Open Area,,,959,3606,5500,7409,6459
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2022",Others,,,121,362,480,717,601
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2022",Residential Area,,,477,1370,2392,3287,2869
India,Delhi,"Calendar Year (Jan - Dec), 2022",Institutional Area,,,40,135,289,413,329
India,Delhi,"Calendar Year (Jan - Dec), 2022",Market/ Commercial Area,,,18,184,621,708,639
India,Delhi,"Calendar Year (Jan - Dec), 2022",Open Area,,,43,624,1880,2291,1923
India,Delhi,"Calendar Year (Jan - Dec), 2022",Others,,,36,366,1548,1583,1584
India,Delhi,"Calendar Year (Jan - Dec), 2022",Residential Area,,,101,152,625,657,726
India,Goa,"Calendar Year (Jan - Dec), 2022",Institutional Area,,,7,11,41,114,48
India,Goa,"Calendar Year (Jan - Dec), 2022",Market/ Commercial Area,,,62,55,183,706,245
India,Goa,"Calendar Year (Jan - Dec), 2022",Open Area,,,116,120,314,1229,430
India,Goa,"Calendar Year (Jan - Dec), 2022",Others,,,0,0,0,0,0
India,Goa,"Calendar Year (Jan - Dec), 2022",Residential Area,,,83,85,285,962,368
India,Gujarat,"Calendar Year (Jan - Dec), 2022",Institutional Area,,,703,526,452,1204,1155
India,Gujarat,"Calendar Year (Jan - Dec), 2022",Market/ Commercial Area,,,1228,877,760,2197,1988
India,Gujarat,"Calendar Year (Jan - Dec), 2022",Open Area,,,4915,4804,3773,8626,8688
India,Gujarat,"Calendar Year (Jan - Dec), 2022",Others,,,62,41,46,171,108
India,Gujarat,"Calendar Year (Jan - Dec), 2022",Residential Area,,,1874,1370,1276,3553,3150
India,Haryana,"Calendar Year (Jan - Dec), 2022",Institutional Area,,,79,291,574,662,653
India,Haryana,"Calendar Year (Jan - Dec), 2022",Market/ Commercial Area,,,247,486,981,1367,1228
India,Haryana,"Calendar Year (Jan - Dec), 2022",Open Area,,,776,2195,2379,4323,3155
India,Haryana,"Calendar Year (Jan - Dec), 2022",Others,,,371,1289,1954,2622,2325
India,Haryana,"Calendar Year (Jan - Dec), 2022",Residential Area,,,204,654,954,1455,1158
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2022",Institutional Area,,,148,94,154,274,302
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2022",Market/ Commercial Area,,,206,95,250,369,456
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2022",Open Area,,,798,760,2177,1719,2975
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2022",Others,,,42,40,89,88,131
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2022",Residential Area,,,69,43,130,147,199
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2022",Institutional Area,,,164,19,92,131,256
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2022",Market/ Commercial Area,,,340,86,1012,1236,1352
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2022",Open Area,,,1420,385,1996,1988,3416
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2022",Others,,,1129,194,1265,1424,2394
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2022",Residential Area,,,274,121,680,1313,954
India,Jharkhand,"Calendar Year (Jan - Dec), 2022",Institutional Area,,,174,247,39,329,213
India,Jharkhand,"Calendar Year (Jan - Dec), 2022",Market/ Commercial Area,,,474,515,140,797,614
India,Jharkhand,"Calendar Year (Jan - Dec), 2022",Open Area,,,1569,2037,363,2534,1932
India,Jharkhand,"Calendar Year (Jan - Dec), 2022",Others,,,191,384,42,485,233
India,Jharkhand,"Calendar Year (Jan - Dec), 2022",Residential Area,,,598,715,157,1030,755
India,Karnataka,"Calendar Year (Jan - Dec), 2022",Institutional Area,,,1207,425,1135,1902,2342
India,Karnataka,"Calendar Year (Jan - Dec), 2022",Market/ Commercial Area,,,2854,1213,2655,4872,5509
India,Karnataka,"Calendar Year (Jan - Dec), 2022",Open Area,,,14239,8324,17514,25720,31753
India,Karnataka,"Calendar Year (Jan - Dec), 2022",Others,,,1054,495,1303,1871,2357
India,Karnataka,"Calendar Year (Jan - Dec), 2022",Residential Area,,,3363,1245,2830,5397,6193
India,Kerala,"Calendar Year (Jan - Dec), 2022",Institutional Area,,,1376,158,596,1740,1972
India,Kerala,"Calendar Year (Jan - Dec), 2022",Market/ Commercial Area,,,4094,425,1788,5322,5882
India,Kerala,"Calendar Year (Jan - Dec), 2022",Open Area,,,8082,1089,3606,10250,11688
India,Kerala,"Calendar Year (Jan - Dec), 2022",Others,,,17472,2203,7223,22063,24695
